year,province,vocational_major,skill_name,total_demand,avg_salary_offered,total_supply,certification_rate,SGI,status_gap,cluster_label
2023,Aceh,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2060,11350634,1301,0.47,0.3684466019417475,Waspada,0
2023,Aceh,Teknik Komputer & Jaringan (TKJ),Cyber Security,2295,9104572,739,0.63,0.677995642701525,Kritis,0
2023,Aceh,Rekayasa Perangkat Lunak (RPL),Web Development,2838,7034489,1639,0.43,0.4224806201550387,Waspada,0
2023,Aceh,Rekayasa Perangkat Lunak (RPL),Data Analytics,1666,12004212,1938,0.42,-0.1632653061224489,Surplus,1
2023,Aceh,Teknik Otomasi Industri (TOI),Otomasi Industri,1330,9323669,1482,0.43,-0.1142857142857142,Surplus,0
2023,Aceh,Teknik Otomasi Industri (TOI),Internet of Things (IoT),1969,6566891,1865,0.59,0.052818689690198,Waspada,0
2023,Aceh,Teknik Logistik,Supply Chain Digital,2415,4903355,1434,0.74,0.4062111801242236,Waspada,0
2023,Aceh,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,2384,10464789,2122,0.79,0.1098993288590604,Waspada,0
2023,Aceh,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,1947,10543066,1654,0.51,0.1504879301489471,Waspada,0
2023,Aceh,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2282,10913790,2687,0.66,-0.177475898334794,Surplus,1
2023,Aceh,Multimedia/DKV,Desain Grafis & UI/UX,3247,9521339,1746,0.72,0.4622728672620881,Waspada,0
2023,Aceh,Multimedia/DKV,Content Creation,2175,8075709,2278,0.37,-0.0473563218390804,Surplus,0
2023,Sumatera Utara,Teknik Komputer & Jaringan (TKJ),Cloud Computing,1762,13042680,1076,0.71,0.3893303064699205,Waspada,0
2023,Sumatera Utara,Teknik Komputer & Jaringan (TKJ),Cyber Security,1846,10299720,1890,0.46,-0.0238353196099674,Surplus,0
2023,Sumatera Utara,Rekayasa Perangkat Lunak (RPL),Web Development,3414,11440913,690,0.65,0.7978910369068541,Kritis,0
2023,Sumatera Utara,Rekayasa Perangkat Lunak (RPL),Data Analytics,1800,8185659,1877,0.71,-0.0427777777777777,Surplus,0
2023,Sumatera Utara,Teknik Otomasi Industri (TOI),Otomasi Industri,3261,6265689,2708,0.58,0.1695798834713278,Waspada,0
2023,Sumatera Utara,Teknik Otomasi Industri (TOI),Internet of Things (IoT),2563,8856518,1245,0.42,0.5142411236831838,Kritis,0
2023,Sumatera Utara,Teknik Logistik,Supply Chain Digital,1975,11197986,1394,0.62,0.2941772151898734,Waspada,0
2023,Sumatera Utara,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,3453,6670928,2540,0.75,0.2644077613669273,Waspada,0
2023,Sumatera Utara,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,3155,11049859,3064,0.58,0.0288431061806656,Waspada,0
2023,Sumatera Utara,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2221,7105413,2017,0.82,0.0918505177847816,Waspada,0
2023,Sumatera Utara,Multimedia/DKV,Desain Grafis & UI/UX,2329,10358019,3828,0.82,-0.643623872906827,Surplus,1
2023,Sumatera Utara,Multimedia/DKV,Content Creation,2700,8384702,2497,0.84,0.0751851851851851,Waspada,0
2023,Sumatera Barat,Teknik Komputer & Jaringan (TKJ),Cloud Computing,2779,13385377,1801,0.73,0.3519251529327096,Waspada,0
2023,Sumatera Barat,Teknik Komputer & Jaringan (TKJ),Cyber Security,1401,6071741,1027,0.64,0.2669521770164168,Waspada,0
2023,Sumatera Barat,Rekayasa Perangkat Lunak (RPL),Web Development,2195,5846797,1810,0.6,0.1753986332574031,Waspada,0
2023,Sumatera Barat,Rekayasa Perangkat Lunak (RPL),Data Analytics,2015,5364685,1696,0.45,0.1583126550868486,Waspada,0
2023,Sumatera Barat,Teknik Otomasi Industri (TOI),Otomasi Industri,2475,5807293,2239,0.57,0.0953535353535353,Waspada,0
2023,Sumatera Barat,Teknik Otomasi Industri (TOI),Internet of Things (IoT),1537,7504238,2946,0.61,-0.9167208848405984,Surplus,1
2023,Sumatera Barat,Teknik Logistik,Supply Chain Digital,2276,8294679,1760,0.53,0.226713532513181,Waspada,0
2023,Sumatera Barat,Teknik Kendaraan Ringan (TKR),Mekanik Otomotif,3464,11523771,2488,0.78,0.2817551963048499,Waspada,0
2023,Sumatera Barat,Akuntansi & Keuangan Lembaga (AKL),Akuntansi Digital,1579,6085160,2959,0.58,-0.8739708676377455,Surplus,1
2023,Sumatera Barat,Usaha Layanan Pariwisata (ULP),Hospitality & Pariwisata,2380,10880526,1603,0.76,0.3264705882352941,Waspada,0
2023,Sumatera Barat,Multimedia/DKV,Desain Grafis & UI/UX,1264,4848984,4161,0.64,-2.291930379746836,Surplus,1
2023,Sumatera Barat,Multimedia/DKV,Content Creation,2567,6304384,2046,0.59,0.2029606544604597,Waspada,0
2023,Riau,Teknik Komputer & Jaringan (TKJ),Cloud Computing,3227,7030919,981,0.4,0.6960024790827394,Kritis,0
2023,Riau,Teknik Komputer & Jaringan (TKJ),Cyber Security,2695,6537095,724,0.35,0.7313543599257885,Kritis,0
